id;source;pmid;pmcid;doi;title;authorString;journalTitle;issue;journalVolume;pubYear;journalIssn;pageInfo;pubType;isOpenAccess;inEPMC;inPMC;hasPDF;hasBook;hasSuppl;citedByCount;hasReferences;hasTextMinedTerms;hasDbCrossReferences;hasLabsLinks;hasTMAccessionNumbers;firstIndexDate;firstPublicationDate;versionNumber
39993196;MED;39993196;PMC11892590;10.1073/pnas.2422861122;No evidence for Peto's paradox in terrestrial vertebrates.;Butler G, Baker J, Amend SR, Pienta KJ, Venditti C.;Proc Natl Acad Sci U S A;9;122;2025;"0027-8424; 1091-6490; ";e2422861122;"research-article; journal article";Y;Y;Y;Y;N;Y;10;Y;Y;N;Y;N;2025-02-25;2025-02-24;NA
41302848;MED;41302848;PMC12653105;10.3390/insects16111103;"Environmental and Dispersal-Related Drivers of Color Morph Distribution in &lt;i&gt;Triatoma infestans&lt;/i&gt; (Klug, 1834) (Hemiptera, Reduviidae).";Díaz EV, Fiad FG, Gigena GV, López AG, Piccinali RV, Carbajal-de-la-Fuente AL, Rodríguez CS, Nattero J.;Insects;11;16;2025;2075-4450;1103;"research-article; journal article";Y;Y;Y;Y;N;Y;0;Y;Y;N;Y;N;2025-11-27;2025-10-29;NA
39758026;MED;39758026;PMC11789551;10.1111/mec.17647;DNA Methylation Associates With Sex-Specific Effects of Experimentally Increased Yolk Testosterone in Wild Nestlings.;Sepers B, Ruuskanen S, van Mastrigt T, Mateman AC, van Oers K.;Mol Ecol;4;34;2025;"0962-1083; 1365-294x; ";e17647;"research-article; journal article";Y;Y;Y;Y;N;Y;1;Y;Y;N;Y;N;2025-01-06;2025-01-06;NA
PMC12344276;PMC;NA;PMC12344276;NA;What Is Regulating Chironomid Populations? The Influence of Food Supply and Interference Competition on Development and Mortality in Chironomus riparius;Strauss T, Gerhard J, Gerth D, Koch J, Ottermanns R, Vaugeois M, Galic N.;Ecol Evol;8;15;2025;2045-7758;NA;"research-article; journal article";Y;Y;Y;Y;N;Y;0;N;Y;N;N;N;2025-08-15;2025-08-01;NA
40936331;MED;40936331;PMC12426586;10.1002/eap.70076;Influence of vessel disturbance on Pacific harbour porpoise (Phocoena phocoena vomerina) echolocation.;Dracott K, Robinson CV, Dares L, Woodley E, Migneault A, Birdsall C.;Ecol Appl;6;35;2025;1051-0761;e70076;"research-article; journal article";Y;Y;Y;Y;N;Y;1;Y;Y;N;Y;Y;2025-09-12;2025-09-01;NA
40950783;MED;40950783;PMC12432409;10.1002/ece3.72153;Floral Color and Family Drive Contrasting Plant-Pollinator Responses to Nutrient Enrichment.;Nelson RA, Borer ET, Seabloom EW.;Ecol Evol;9;15;2025;2045-7758;e72153;"research-article; journal article";Y;Y;Y;Y;N;Y;0;Y;Y;N;N;N;2025-09-16;2025-09-13;NA
41321946;MED;41321946;PMC12662060;10.7717/peerj.20319;Coral reefs in the Mahafaly Seascape (SW Madagascar) as potential climate refugia following the 2024 mass bleaching event.;Randrianarivo M, Rakotomanga S, Razafindramasy F, Ravelojaona DK, Ranaivoson T, Rakotomalala D, Ratsimbazafy R.;PeerJ;NA;13;2025;2167-8359;e20319;"research-article; journal article";Y;Y;Y;Y;N;Y;0;Y;Y;N;N;Y;2025-12-01;2025-11-25;NA
40584679;MED;40584679;PMC12202778;10.1002/ece3.71672;Abundance, Diversity and Phenology of Mosquito Larvae in a Highly Anthropized Wetland: Health and Management Implications of Gándaras de Budiño (NW Spain).;Martínez-Barciela Y, Polina A, Garrido J.;Ecol Evol;7;15;2025;2045-7758;e71672;"research-article; journal article";Y;Y;Y;Y;N;Y;0;Y;Y;N;N;N;2025-07-01;2025-06-26;NA
41345336;MED;41345336;PMC12680868;10.1007/s00248-025-02627-9;Do Shifts in Honeybee Crop Microbiota Enable Ethanol Accumulation? A Comparative Analysis of Caged and Foraging Bees.;Antoł W, Surmacz B, Ostap-Chec M, Stec D, Miler K.;Microb Ecol;1;88;2025;"0095-3628; 1432-184x; ";137;"comparative study; research-article; journal article";Y;Y;Y;Y;N;Y;0;Y;Y;N;N;N;2025-12-05;2025-12-04;NA
40163496;MED;40163496;PMC11957269;10.1371/journal.pone.0319654;Evaluation of statistical methods applied in theses and dissertations in an Open, Distance and e-Learning University.;Debusho LK, Mashabela MR, Sebatjane PN, Sithole S, Tabo B, Rapoo EM.;PLoS One;3;20;2025;1932-6203;e0319654;"research-article; journal article";Y;Y;Y;Y;N;N;0;Y;Y;N;N;N;2025-04-02;2025-03-31;NA
39859647;MED;39859647;PMC11765621;10.3390/insects16010065;Temperature and Host Fruit During Immature Development Shape Adult Life History Traits of Different <i>Ceratitis capitata</i> Populations.;Papadogiorgou GD, Papadopoulos NT.;Insects;1;16;2025;2075-4450;65;"research-article; journal article";Y;Y;Y;Y;N;Y;1;Y;Y;N;Y;N;2025-01-28;2025-01-11;NA
40267118;MED;40267118;PMC12017478;10.1371/journal.pone.0317081;Estimating setback distances for a threatened, cryptic, data-sparse migratory shorebird.;Hansen BD, Honan J, Stewart D, Walters JR, Weston MA.;PLoS One;4;20;2025;1932-6203;e0317081;"research-article; journal article";Y;Y;Y;Y;N;Y;0;Y;Y;N;Y;N;2025-04-24;2025-04-23;NA
40814073;MED;40814073;PMC12351819;10.1186/s12862-025-02424-5;Effect of pre-germination temperature conditions on germination characteristics of temperate grassland species.;Kiss R, Lukács K, Tóth Á, Tóth B, Samraoui KR, Engel R, Deák B, Valkó O.;BMC Ecol Evol;1;25;2025;2730-7182;82;"research-article; journal article";Y;Y;Y;Y;N;Y;0;Y;Y;N;N;N;2025-08-21;2025-08-14;NA
39951454;MED;39951454;PMC11828422;10.1371/journal.pone.0307357;Landscape conservation and orchard management influence carob tree yield through changes in pollinator communities.;Gómez-Martínez C, González-Estévez MA, deCastro-Arrazola I, Unglaub P, Lázaro A.;PLoS One;2;20;2025;1932-6203;e0307357;"research-article; journal article";Y;Y;Y;Y;N;Y;0;Y;Y;N;Y;N;2025-02-15;2025-02-14;NA
41249368;MED;41249368;PMC12623759;10.1038/s41598-025-24054-z;Multi-phase modelling of potential drivers for the range expansion of the golden jackal (Canis aureus).;Bijl H, Schally G, Heltai M, Emami-Khoyi A, Csányi S.;Sci Rep;1;15;2025;2045-2322;40226;"research-article; journal article";Y;Y;Y;Y;N;Y;0;Y;Y;N;N;N;2025-11-18;2025-11-17;NA
40625334;MED;40625334;PMC12231222;10.1002/ece3.71733;"No Evidence That the Phoretic Mite &lt;i&gt;Poecilochirus carabi&lt;/i&gt; Influences Mate Choice or Fitness in the Host Burying Beetle &lt;i&gt;Nicrophorus nepalensis&lt;/i&gt;.";Lan B, Malik TG, Tsai MT, Wu YT, Sun SJ.;Ecol Evol;7;15;2025;2045-7758;e71733;"research-article; journal article";Y;Y;Y;Y;N;Y;0;Y;Y;N;N;N;2025-07-09;2025-07-04;NA
41104050;MED;41104050;PMC12526992;10.1093/ve/veaf077;Phylogeographic evaluation of the effectiveness of Canadian travel restrictions in reducing SARS-CoV-2 variant importations and burden.;McLaughlin A, Montoya V, Miller RL, Canadian COVID-19 Genomics Network (CanCOGeN) Consortium , Worobey M, Joy JB.;Virus Evol;1;11;2025;2057-1577;veaf077;"research-article; journal article";Y;Y;Y;Y;N;Y;0;Y;Y;N;Y;N;2025-10-17;2025-10-11;NA
40661918;MED;40661918;PMC12259308;10.1002/ece3.71761;Species and Phylogenetic Diversity of Woody Plants Shift With the Elevational Gradient in Subtropical Forests in South China.;Li J, Luo Y, Chen F, Hu C, Xu C, Zhang Z, Hu G.;Ecol Evol;7;15;2025;2045-7758;e71761;"research-article; journal article";Y;Y;Y;Y;N;Y;1;Y;Y;N;Y;N;2025-07-15;2025-07-14;NA
40184465;MED;40184465;PMC11970481;10.1126/sciadv.adr4310;Simultaneous acclimation to nitrogen and iron scarcity in open ocean cyanobacteria revealed by sparse tensor decomposition of metatranscriptomes.;Blaskowski S, Roald M, Berube PM, Braakman R, Armbrust EV.;Sci Adv;14;11;2025;2375-2548;eadr4310;"research-article; journal article";Y;Y;Y;Y;N;Y;0;Y;Y;N;Y;N;2025-04-07;2025-04-04;NA
39827291;MED;39827291;PMC11743127;10.1038/s41598-025-86434-9;First record of microplastic contamination in adult endemic amazonian anuran species.;E Souza-Ferreira MLC, Dos Reis AJO, Ferreira EBL, Dipold J, Freitas AZ, Wetter NU, de Oliveira-Bahia VRL, Vieira TB.;Sci Rep;1;15;2025;2045-2322;2403;"research support, non-u.s. gov't; research-article; journal article";Y;Y;Y;Y;N;N;1;Y;Y;N;Y;N;2025-01-22;2025-01-18;NA
40596875;MED;40596875;PMC12211375;10.1186/s12862-025-02410-x;The influence of native shrub density on bird communities in the southern drylands of California, USA.;Hillier-Weltman Z, Lortie CJ, Zuliani M.;BMC Ecol Evol;1;25;2025;2730-7182;63;"research-article; journal article";Y;Y;Y;Y;N;Y;0;Y;Y;N;Y;Y;2025-07-03;2025-07-01;NA
39698753;MED;39698753;PMC11754720;10.1111/mec.17629;Population Dynamics and the Microbiome in a Wild Boreal Mammal: The Snowshoe Hare Cycle and Impacts of Diet, Season and Predation Risk.;Stothart MR, Lavergne S, McCaw L, Singh H, de Vega W, Amato K, Poissant J, Boonstra R.;Mol Ecol;3;34;2025;"0962-1083; 1365-294x; ";e17629;"research-article; journal article";Y;Y;Y;Y;N;Y;2;Y;Y;N;Y;N;2024-12-19;2024-12-19;NA
40743124;MED;40743124;PMC12312879;10.1371/journal.pone.0305154;Estimation of free-roaming dog populations using Google Street View: A methodological study.;Porras G, Diaz EW, De la Puente-León M, Gavidia CM, Castillo-Neyra R.;PLoS One;7;20;2025;1932-6203;e0305154;"research-article; journal article";Y;Y;Y;Y;N;N;0;Y;Y;N;Y;N;2025-08-01;2025-07-31;NA
40514396;MED;40514396;PMC12283404;10.1038/s41477-025-02022-9;Geographic range size and rarity of epiphytic flowering plants.;Svahnström VJ, Nic Lughadha E, Forest F, Leão TCC.;Nat Plants;7;11;2025;2055-0278;1380-1389;"research-article; journal article";Y;Y;Y;Y;N;Y;0;Y;Y;N;Y;N;2025-06-15;2025-06-13;NA
40952238;MED;40952238;PMC12673235;10.1111/1365-2656.70136;Habitat heterogeneity and food availability in beaver-engineered streams foster bat richness, activity and feeding.;Moser V, Capitani L, Zehnder L, Hürbin A, Obrist MK, Ecker K, Boch S, Minnig S, Angst C, Pomati F, Risch AC.;J Anim Ecol;12;94;2025;"0021-8790; 1365-2656; ";2403-2420;"research-article; journal article";Y;Y;Y;Y;N;Y;0;Y;Y;N;Y;Y;2025-09-16;2025-09-15;NA
39843490;MED;39843490;PMC11754898;10.1038/s41598-025-86145-1;Hydrogenotrophic methanogenesis at 7-12 mbar by Methanosarcina barkeri under simulated martian atmospheric conditions.;Harris RL, Schuerger AC.;Sci Rep;1;15;2025;2045-2322;2880;"research support, non-u.s. gov't; research-article; research support, u.s. gov't, non-p.h.s.; journal article";Y;Y;Y;Y;N;Y;1;Y;Y;N;Y;N;2025-01-24;2025-01-22;NA
39829083;MED;39829083;PMC11744057;10.1002/eap.3083;Relative effects of seed mix design, consumer pressure, and edge proximity on community structure in restored prairies.;Pizza RB, Turley NE, Brudvig LA.;Ecol Appl;1;35;2025;1051-0761;e3083;"research-article; journal article";Y;Y;Y;Y;N;Y;1;Y;Y;N;Y;Y;2025-01-22;2025-01-01;NA
40247077;MED;40247077;PMC12006495;10.1038/s41598-025-98051-7;Environmental and anthropogenic influences on fire patterns in tropical dry deciduous forests.;Niyogi VS, Niyogi R, Banerjee S, Verma N, Choure K.;Sci Rep;1;15;2025;2045-2322;13272;"research-article; journal article";Y;Y;Y;Y;N;Y;0;Y;Y;N;Y;N;2025-04-18;2025-04-17;NA
39939372;MED;39939372;PMC11822004;10.1038/s41598-025-89917-x;Invasive tree species affect terricolous bryophytes biomass and biodiversity in nutrient-poor but not nutrient-rich temperate forests.;Bury S, Dyderski MK.;Sci Rep;1;15;2025;2045-2322;5272;"research-article; journal article";Y;Y;Y;Y;N;Y;1;Y;Y;N;Y;N;2025-02-13;2025-02-12;NA
39664073;MED;39664073;PMC11630087;10.1093/beheco/arae090;Responses in adult pied flycatcher males depend on playback song similarity to local population.;Gallego-Abenza M, Kraft FH, Ma L, Rajan S, Wheatcroft D.;Behav Ecol;1;36;2025;"1045-2249; 1465-7279; ";arae090;"research-article; journal article";Y;Y;Y;Y;N;N;0;Y;Y;N;Y;Y;2024-12-12;2024-11-06;NA
41193551;MED;41193551;PMC12589401;10.1038/s41598-025-22637-4;Reservoir host community and vector density predict human tick-borne diseases across the Eastern United States.;Martins PM, Mahon MB, Rohr JR.;Sci Rep;1;15;2025;2045-2322;38794;"research-article; journal article";Y;Y;Y;Y;N;Y;0;Y;Y;N;Y;N;2025-11-06;2025-11-05;NA
40838887;MED;40838887;PMC12403121;10.1073/pnas.2502742122;Aphid herbivory on macrophytes drives adaptive evolution in an aquatic community via indirect effects.;Schäfer M, Malacrinò A, Walcher C, Spaak P, Serwaty-Sárazová M, Käser S, Bulas T, Dambone-Bösch C, Dexter E, Hottinger J, Böttner L, Vorburger C, Ebert D, Xu S.;Proc Natl Acad Sci U S A;34;122;2025;"0027-8424; 1091-6490; ";e2502742122;"research-article; journal article";Y;Y;Y;Y;N;Y;1;Y;Y;N;Y;Y;2025-08-23;2025-08-21;NA
40823060;MED;40823060;PMC12356646;10.1002/ece3.71984;Species-Specific Responses of Farmland Birds to Overhead Powerlines.;Marques AT, Silva JP, Moreira F.;Ecol Evol;8;15;2025;2045-7758;e71984;"research-article; journal article";Y;Y;Y;Y;N;Y;0;Y;Y;N;Y;N;2025-08-21;2025-08-15;NA
41121975;MED;41121975;PMC12630430;10.1111/nph.70600;Floral scent chemodiversity is associated with high floral visitor but low bacterial richness on flowers.;Hanusch M, Dötterl S, Larue-Kontić AC, Keller A, Junker RR.;New Phytol;6;248;2025;"1469-8137; 0028-646x; ";3270-3279;"research-article; journal article";Y;Y;Y;Y;N;Y;0;Y;Y;N;Y;N;2025-10-22;2025-10-22;NA
40590503;MED;40590503;PMC12424281;10.1111/1365-2656.70095;Fluctuating salinity during development impacts fish life histories.;Chung MJ, Noble DWA, Fox RJ, Harrison LM, Jennions MD.;J Anim Ecol;9;94;2025;"0021-8790; 1365-2656; ";1848-1865;"research-article; journal article";Y;Y;Y;Y;N;Y;1;Y;Y;N;N;Y;2025-07-02;2025-07-01;NA
41140313;MED;41140313;PMC12545700;10.1002/ece3.72351;Light Sensitive Bumblebee Species Are Associated With Forest Habitat and Forest-Dominated Landscapes.;Bartholomée O, Tichit P, Åström J, Smith HG, Åström S, Sydenham MAK, Baird E.;Ecol Evol;10;15;2025;2045-7758;e72351;"research-article; journal article";Y;Y;Y;Y;N;Y;0;Y;Y;N;Y;Y;2025-10-27;2025-10-22;NA
PMC12225633;PMC;NA;PMC12225633;NA;Eukaryotic gut community of the bat Myotis arescens in anthropized landscapes in Chile;Ramírez-Fernández L, Saldarriaga-Córdoba M, Silva A, Napolitano C, Rodríguez-San Pedro A.;PeerJ;NA;13;2025;2167-8359;NA;"research-article; journal article";Y;Y;Y;Y;N;Y;0;N;Y;N;N;Y;2025-07-07;2025-01-01;NA
41281918;MED;41281918;PMC12634784;10.1007/s10980-025-02246-2;Directing recreation pressure via pathways allows for coexistence of recreation and nature development on the upper beach.;van Rosmalen SJ, Homberger JM, Riksen M, Limpens J.;Landsc Ecol;12;40;2025;0921-2973;224;"research-article; journal article";Y;Y;Y;Y;N;Y;0;Y;Y;N;Y;N;2025-11-24;2025-11-20;NA
40679145;MED;40679145;PMC12484416;10.1111/1365-2656.70109;Host avoidance and resistance vary independently and are specific to parasite genotype.;Amoroso CR, Lockwood-Shabat A, Kamali A, Gibson AK.;J Anim Ecol;10;94;2025;"0021-8790; 1365-2656; ";2079-2088;"research-article; journal article";Y;Y;Y;Y;N;Y;1;Y;Y;N;Y;N;2025-07-19;2025-07-18;NA
40424320;MED;40424320;PMC12111614;10.1371/journal.pone.0323937;Classification of mountain-based rail transit stations and analysis of passenger flow influencing mechanisms.;Zou Q, Xia Y, Ran X, Guo X, Feng J.;PLoS One;5;20;2025;1932-6203;e0323937;"research-article; journal article";Y;Y;Y;Y;N;Y;0;Y;Y;N;N;N;2025-05-28;2025-05-27;NA
40130004;MED;40130004;PMC11930763;10.1002/ece3.71164;"Rewiring the Vehicle: &lt;i&gt;Trypanosoma cruzi&lt;/i&gt; Parasites Alter the Antennae of Their Triatomine Hosts.";Rivera-Duarte JD, May-Concha IJ, Vargas-Abasolo R, Martínez-Castaneira MX, Farfán-Beltrán ME, Mendoza-Garfias B, Flores-Villegas AL, Córdoba-Aguilar A.;Ecol Evol;3;15;2025;2045-7758;e71164;"research-article; journal article";Y;Y;Y;Y;N;Y;1;Y;Y;N;Y;N;2025-03-26;2025-03-23;NA
40343087;MED;40343087;PMC12060900;10.7717/peerj.19371;Impact of seasonal flooding and hydrological connectivity loss on microbial community dynamics in mangrove sediments of the southern Gulf of Mexico.;Vázquez-Rosas-Landa M, Pérez-Ceballos R, Zaldívar-Jiménez A, Hereira S, Pérez González L, Prieto-Davó A, Celis-Hernández O, Canales-Delgadillo JC.;PeerJ;NA;13;2025;2167-8359;e19371;"research-article; journal article";Y;Y;Y;Y;N;Y;1;Y;Y;N;Y;N;2025-05-10;2025-05-05;NA
40299874;MED;40299874;PMC12040218;10.1371/journal.pone.0322186;Soil-feeding termites build islands of soil physical and chemical fertility in pastures in Colombian Amazon.;Duran-Bautista EH, Silva-Olaya AM, Llanos-Cabrera MP, Yalanda-Sepúlveda K, Suárez JC.;PLoS One;4;20;2025;1932-6203;e0322186;"research-article; journal article";Y;Y;Y;Y;N;Y;0;Y;Y;N;Y;N;2025-04-30;2025-04-29;NA
40584002;MED;40584002;PMC12202312;10.1093/beheco/araf059;Antagonistic effects of predator color morph abundance and saliency on prey anti-predator responses.;Matchette SR, Schneider J, Drerup C, Winters S, Radford AN, Herbert-Read JE.;Behav Ecol;4;36;2025;"1045-2249; 1465-7279; ";araf059;"research-article; journal article";Y;Y;Y;Y;N;Y;0;Y;Y;N;Y;N;2025-07-01;2025-05-24;NA
41200251;MED;41200251;PMC12588729;10.1002/ece3.72446;"Interactive Effects of Copper Contamination and Salinization Across Multiple Genotypes of &lt;i&gt;Daphnia magna&lt;/i&gt;.";Hernandez Villatoro AM, Piggott JJ, Ryan AP, Luijckx P, Carrier-Belleau C.;Ecol Evol;11;15;2025;2045-7758;e72446;"research-article; journal article";Y;Y;Y;Y;N;Y;0;Y;Y;N;N;N;2025-11-07;2025-11-05;NA
41250744;MED;41250744;PMC12620028;10.1002/ece3.72380;Identification of Farmland Bird Indicator Species for Practitioner Monitoring in the United Kingdom.;McHugh NM, Ness ER, Nichols R, Banks G, Strong D, Young MW, Zuta A, Begg GS.;Ecol Evol;11;15;2025;2045-7758;e72380;"research-article; journal article";Y;Y;Y;Y;N;Y;0;Y;Y;N;Y;Y;2025-11-18;2025-11-16;NA
40498736;MED;40498736;PMC12156984;10.1371/journal.pone.0324881;Flowering seasonality drives taxonomic, functional, and phylogenetic diversity of hummingbirds along an altitudinal gradient in northwestern Mexico.;López-Segoviano G, Nuñez-Rosas LE, Arenas-Navarro M, Huerta-Ramos G, Arizmendi MDC.;PLoS One;6;20;2025;1932-6203;e0324881;"research-article; journal article";Y;Y;Y;Y;N;Y;0;Y;Y;N;Y;N;2025-06-12;2025-06-11;NA
40691214;MED;40691214;PMC12279945;10.1038/s41598-025-11706-3;Passive acoustic monitoring reveals seasonal patterns in European green toad calling activity but fails to accurately reflect population abundance.;Kaczmarski M, Kaczmarek JM, Radzińska A, Budka M.;Sci Rep;1;15;2025;2045-2322;26447;"research-article; journal article";Y;Y;Y;Y;N;Y;1;Y;Y;N;Y;N;2025-07-22;2025-07-21;NA
40390244;MED;40390244;PMC12089694;10.1002/ecy.70073;An integrated data model to estimate abundance from counts with temporal dependence and imperfect detection.;Ver Hoef JM, McClintock BT, Boveng PL, London JM, Jansen JK.;Ecology;5;106;2025;"1939-9170; 0012-9658; ";e70073;"methods-article; journal article";Y;Y;Y;Y;N;Y;0;Y;Y;N;N;N;2025-05-21;2025-05-01;NA
41039012;MED;41039012;PMC12491621;10.1038/s41598-025-17584-z;Evidence that freshwater mussels attempt temporal partitioning of their host fishes.;Smodis SL, Morris TJ, Ackerman JD.;Sci Rep;1;15;2025;2045-2322;34448;"research-article; journal article";Y;Y;Y;Y;N;Y;0;Y;Y;N;Y;N;2025-10-03;2025-10-02;NA
40328893;MED;40328893;PMC12056212;10.1038/s41598-025-99252-w;Exploring the epidemiological characteristics of Mpox in the Arab Gulf countries.;Althobaity YM, Tildesley MJ.;Sci Rep;1;15;2025;2045-2322;15748;"research-article; journal article";Y;Y;Y;Y;N;Y;0;Y;Y;N;N;N;2025-05-07;2025-05-06;NA
40977098;MED;40977098;PMC12451259;10.1111/ele.70209;Borealisation of Plant Communities in the Arctic Is Driven by Boreal-Tundra Species.;García Criado M, Barrio IC, Speed JDM, Bjorkman AD, Elmendorf SC, Myers-Smith IH, Aerts R, Alatalo JM, Betway-May KR, Björk RG, Björkman MP, Blok D, Cooper EJ, Cornelissen JHC, Gould WA, Gya R, Henry GHR, Hermanutz L, Hollister RD, Jägerbrand AK, Jónsdóttir IS, Kaarlejärvi E, Khitun O, Lang SI, Macek P, May JL, Michelsen A, Normand S, Olsen SL, Post E, Rinnan R, Schmidt NM, Sjogersten S, Tolvanen A, Töpper JP, Trant A, Vandvik V, Vowles T.;Ecol Lett;9;28;2025;"1461-023x; 1461-0248; ";e70209;"review-article; review; journal article";Y;Y;Y;Y;N;Y;1;Y;Y;N;Y;N;2025-09-24;2025-09-01;NA
39824878;MED;39824878;PMC11742039;10.1038/s41598-025-86163-z;Multi-faceted examination of a deepwater seamount reveals ecological patterns among coral and sponge communities in the equatorial Pacific.;Kennedy BR, Auscavitch S, Shank TM, Sartor C, Tennaba A, Weinnig AM, Rotjan RD.;Sci Rep;1;15;2025;2045-2322;2270;"research support, non-u.s. gov't; research-article; journal article";Y;Y;Y;Y;N;Y;0;Y;Y;N;Y;N;2025-01-20;2025-01-17;NA
41009167;MED;41009167;PMC12471070;10.3390/insects16090988;"Predation Pressure on Invertebrate Sentinel Prey Depends on Distance to Forest Edge and Seasonality in Kenyan Tea (&lt;i&gt;Camellia sinensis&lt;/i&gt;) Plantations.";Imboma TS, Venturo A, Lövei GL.;Insects;9;16;2025;2075-4450;988;"research-article; journal article";Y;Y;Y;Y;N;Y;0;Y;Y;N;Y;N;2025-09-28;2025-09-22;NA
40251217;MED;40251217;PMC12008177;10.1038/s41598-025-96464-y;Spatiotemporal distribution and ecological factors of disease burden in Inner Mongolia's working age population with brucellosis from 2015 to 2020.;Yu L, Zheng H, Wang Y, Wang X, Wang X.;Sci Rep;1;15;2025;2045-2322;13496;"research-article; journal article";Y;Y;Y;Y;N;Y;0;Y;Y;N;Y;N;2025-04-20;2025-04-18;NA
39221784;MED;39221784;PMC11880661;10.1111/1365-2656.14173;Detecting context dependence in the expression of life history trade-offs.;Bliard L, Martin JS, Paniw M, Blumstein DT, Martin JGA, Pemberton JM, Nussey DH, Childs DZ, Ozgul A.;J Anim Ecol;3;94;2025;"0021-8790; 1365-2656; ";379-393;"research support, non-u.s. gov't; research-article; research support, u.s. gov't, non-p.h.s.; journal article";Y;Y;Y;Y;N;Y;6;Y;Y;N;Y;Y;2024-09-03;2024-09-02;NA
